Form Name,Form Created,Form Submitted,County,GPS Latitude,GPS Longitude,GPS Accuracy,Kenya Questionnaire,Kenya Multi Sector Mapping Project,In What Year Did This Establishment Begin Operations?,"How Many Services (Kenswitch, Mastercard, Pesa Point, Visa) Does the ATM Offer?",How Many Machines are Located at the ATM Booth?
Stand alone ATM,2015/03/09 07:04:14 AM,2015/03/09 07:20:12 AM,MOMBASA,-4.06092,39.6669,10,Financial,Stand alone ATM,2007/01/01,3,2
Stand alone ATM,2015/03/09 09:20:54 AM,2015/03/09 09:35:55 AM,NAIROBI,-1.28469,36.82339,5,Financial,Stand alone ATM,2003/03/01,1,2
Stand alone ATM,2015/03/09 09:56:17 AM,2015/03/09 10:04:16 AM,NAKURU,-0.28676,36.06352,9,Financial,Stand alone ATM,2012/01/01,3,1
Stand alone ATM,2015/03/09 09:56:59 AM,2015/03/09 10:04:23 AM,NAIROBI,-1.28583,36.82336,13,Financial,Stand alone ATM,2013/03/09,1,1
Stand alone ATM,2015/03/09 10:05:21 AM,2015/03/09 10:10:13 AM,NAKURU,-0.28665,36.06371,6,Financial,Stand alone ATM,2014/02/01,2,1
Stand alone ATM,2015/03/09 10:11:37 AM,2015/03/09 10:21:45 AM,MOMBASA,-4.06216,39.67138,12,Financial,Stand alone ATM,2015/03/09,3,2
Stand alone ATM,2015/03/09 11:12:59 AM,2015/03/09 11:17:36 AM,NAIROBI,-1.28922,36.82707,6,Financial,Stand alone ATM,2013/01/06,3,1
Stand alone ATM,2015/03/09 01:31:37 PM,2015/03/09 01:34:32 PM,NAIROBI,-1.28901,36.82868,4,Financial,Stand alone ATM,2014/01/05,3,1
Stand alone ATM,2015/03/09 01:10:15 PM,2015/03/09 01:54:28 PM,NAIROBI,-1.28659,36.81712,7,Financial,Stand alone ATM,2015/03/09,2,2
Stand alone ATM,2015/03/09 02:30:41 PM,2015/03/09 02:35:23 PM,NAIROBI,-1.28542,36.8262,6,Financial,Stand alone ATM,2014/12/28,2,2
