County,GPS Latitude,GPS Longitude
MOMBASA,-4.060919999999999,39.6669
NAIROBI,-1.2846899999999999,36.82339
NAKURU,-0.28676,36.063520000000004
NAIROBI,-1.28583,36.82336
NAKURU,-0.28665,36.06371
MOMBASA,-4.0621599999999995,39.67138
NAIROBI,-1.28922,36.82707
NAIROBI,-1.28901,36.82868
NAIROBI,-1.28659,36.81712
NAIROBI,-1.28542,36.8262
NAIROBI,-1.2849,36.819140000000004
NAIROBI,-1.2881200000000002,36.82711
NAIROBI,-1.28585,36.820370000000004
BUSIA,0.45987,34.11305
MOMBASA,-4.0602800000000006,39.67165
NAIROBI,-1.2837399999999999,36.82517
NAIROBI,-1.2872299999999999,36.82841
MURANGA,-0.7328100000000001,37.1485
MOMBASA,-4.0608699999999995,39.65915
NAIROBI,-1.27709,36.82887
NAIROBI,-1.28019,36.816829999999996
NAIROBI,-1.28025,36.816320000000005
NAIROBI,-1.2793299999999999,36.817479999999996
NAIROBI,-1.28461,36.83097
MOMBASA,-4.07135,39.638009999999994
NAIROBI,-1.29211,36.84317
NAIROBI,-1.2920399999999999,36.84295
NAKURU,-0.28570999999999996,36.07521
NAIROBI,-1.29871,36.836909999999996
NAIROBI,-1.30681,36.834720000000004
NAIROBI,-1.29329,36.82584
TAITA-TAVETA,-3.5039,38.37754
NAIROBI,-1.26383,36.80337
NAIROBI,-1.26385,36.803309999999996
NAIROBI,-1.26396,36.80342
NAIROBI,-1.26399,36.80292
MURANGA,-0.87777,37.13978
NAIROBI,-1.18373,36.90135
NAIROBI,-1.31164,36.83733
NAIROBI,-1.25829,36.81962
NAIROBI,-1.25753,36.81811
NAIROBI,-1.25023,36.81214
MURANGA,-0.7206600000000001,37.1593
NAIROBI,-1.25819,36.81888
NAIROBI,-1.25966,36.81792
NAIROBI,-1.26207,36.822720000000004
UASIN GISHU,0.51739,35.27809
NAIROBI,-1.26611,36.74879
MURANGA,-0.6029399999999999,36.95517
NAIROBI,-1.28662,36.88066
NAIROBI,-1.26155,36.839529999999996
KILIFI,-3.94887,39.7452
NAIROBI,-1.23011,36.803979999999996
NAIROBI,-1.22797,36.805240000000005
NAIROBI,-1.22787,36.80535
NAIROBI,-1.30948,36.82243
NAIROBI,-1.27799,36.883179999999996
NAIROBI,-1.278,36.88319
BUNGOMA,0.59319,34.55305
NAIROBI,-1.2646899999999999,36.80245
MOMBASA,-4.00683,39.62806
NAIROBI,-1.23296,36.873509999999996
NAIROBI,-1.25302,36.89714
KISII,-0.67277,34.7728
NAIROBI,-1.23312,36.87399
NAIROBI,-1.1837799999999998,36.90175
NAIROBI,-1.23332,36.87287
NAKURU,-0.30151999999999995,36.07325
KISUMU,-0.10439000000000001,34.752159999999996
KISUMU,-0.10438,34.75221
KISUMU,-0.10450999999999999,34.752140000000004
NAIROBI,-1.2641,36.824329999999996
NAIROBI,-1.26377,36.82431
NAIROBI,-1.26367,36.824009999999994
NAIROBI,-1.26365,36.82421
KISII,-0.67343,34.77411
NAIROBI,-1.26383,36.82451
NAIROBI,-1.26643,36.82877
NAIROBI,-1.26373,36.82464
MERU,0.08542999999999999,37.24149
MERU,0.0854,37.24149
MERU,0.0861,37.242779999999996
NAIROBI,-1.28804,36.881190000000004
NAIROBI,-1.28799,36.88122
NAIROBI,-1.26986,36.9131
NAIROBI,-1.26979,36.91312
NAIROBI,-1.24763,36.87216
NAIROBI,-1.2477,36.872479999999996
NAIROBI,-1.24755,36.87254
NAIROBI,-1.28815,36.88127
NAIROBI,-1.26283,36.80257
NAIROBI,-1.26285,36.80257
NAKURU,-0.28223000000000004,36.096309999999995
NAIROBI,-1.2848700000000002,36.88482
NAIROBI,-1.28478,36.88474
NAIROBI,-1.28481,36.8848
NAIROBI,-1.28464,36.88513
UASIN GISHU,0.51527,35.273559999999996
UASIN GISHU,0.51541,35.273709999999994
NAIROBI,-1.21044,36.87453
MOMBASA,-4.00354,39.63086
NAIROBI,-1.29542,36.80167
NAIROBI,-1.2955,36.80167
NAIROBI,-1.29559,36.802009999999996
NAIROBI,-1.2949700000000002,36.79903
NAIROBI,-1.29541,36.799929999999996
NAIROBI,-1.29505,36.80003
NAIROBI,-1.29505,36.80012
NAIROBI,-1.29506,36.80002
NAIROBI,-1.29509,36.80003
NAIROBI,-1.20482,36.917770000000004
MURANGA,-0.7206899999999999,37.158970000000004
NAIROBI,-1.31792,36.81405
NAIROBI,-1.31064,36.8339
NAIROBI,-1.2602200000000001,36.71829
NAIROBI,-1.2189299999999998,36.89082
NAIROBI,-1.29488,36.8768
NAIROBI,-1.32264,36.80178
NAIROBI,-1.32263,36.80182
NAIROBI,-1.32271,36.802170000000004
