CONSTITUEN,Count
AINAMOI,20
AWENDO,3
BAHATI,1
BARINGO CENTRAL,1
BARINGO NORTH,2
BARINGO SOUTH,1
BELGUT,9
BOBASI,1
BOMACHOGE BORABU,3
BOMACHOGE CHACHE,1
BOMET CENTRAL,27
BOMET EAST,7
BONCHARI,1
BONDO,8
BORABU,7
BUDALANGI,3
BURA,1
BURETI,15
BUTERE,1
BUTULA,1
BUURI,3
CENTRAL IMENTI,1
CHANGAMWE,5
CHEPALUNGU,3
CHERANGANY,2
CHESUMEI,5
CHUKA/IGAMBANG'OMBE,13
DAGORETTI NORTH,62
DAGORETTI SOUTH,10
ELDAMA RAVINE,6
EMBAKASI EAST,49
EMBAKASI NORTH,8
EMBAKASI SOUTH,14
EMBAKASI WEST,17
EMGWEN,6
EMURUA DIKIRR,4
FUNYULA,2
GALOLE,2
GANZE,1
GARISSA TOWNSHIP,1
GARSEN,4
GATANGA,1
GATUNDU NORTH,1
GATUNDU SOUTH,9
GICHUGU,16
GILGIL,5
GITHUNGURI,11
HAMISI,1
HOMA BAY TOWN,6
IGEMBE CENTRAL,1
IGEMBE NORTH,5
IGEMBE SOUTH,3
ISIOLO NORTH,1
JOMVU,5
JUJA,1
KABETE,10
KABONDO KASIPUL,1
KAITI,5
KAJIADO CENTRAL,3
KAJIADO EAST,23
KAJIADO NORTH,42
KAJIADO SOUTH,15
KAJIADO WEST,3
KALOLENI,4
KAMUKUNJI,15
KANDARA,2
KANDUYI,4
KANGEMA,4
KAPENGURIA,11
KAPSERET,3
KARACHUONYO,7
KASARANI,9
KASIPUL,7
KATHIANI,3
KEIYO NORTH,10
KEIYO SOUTH,10
KESSES,5
KIAMBAA,10
KIAMBU,14
KIBRA,34
KIBWEZI EAST,2
KIBWEZI WEST,10
KIENI,10
KIGUMO,3
KIHARU,15
KIKUYU,11
KILGORIS,5
KILIFI NORTH,18
KILIFI SOUTH,6
KILOME,5
KIMILILI,1
KIMININI,1
KINANGO,6
KINANGOP,13
KIPIPIRI,2
KIPKELION EAST,6
KIRINYAGA CENTRAL,11
KISAUNI,6
KISUMU CENTRAL,19
KITUI CENTRAL,7
KITUI EAST,2
KITUI SOUTH,2
KITUI WEST,2
KITUTU MASABA,7
KONOIN,7
KURESOI NORTH,2
KURESOI SOUTH,2
KURIA EAST,3
KURIA WEST,8
LAIKIPIA EAST,1
LAIKIPIA NORTH,2
LAIKIPIA WEST,16
LAMU EAST,3
LAMU WEST,11
LANGATA,52
LARI,8
LIKONI,7
LIKUYANI,1
LIMURU,6
LUGARI,4
LUNGA LUNGA,2
LURAMBI,7
MACHAKOS TOWN,10
MAGARINI,2
MAKADARA,9
MAKUENI,21
MALINDI,20
MANYATTA,6
MARAGWA,8
MARAKWET EAST,1
MARAKWET WEST,3
MASINGA,2
MATAYOS,9
MATHIOYA,9
MATHIRA,10
MATUGA,6
MATUNGULU,3
MAVOKO,16
MBEERE NORTH,3
MBITA,15
MBOONI,2
MOGOTIO,3
MOIBEN,21
MOLO,7
MOSOP,4
MSAMBWENI,18
MT. ELGON,1
MUHORONI,1
MUKURWEINI,5
MUMIAS WEST,1
MVITA,41
MWALA,2
MWATATE,4
MWEA,7
MWINGI CENTRAL,12
MWINGI NORTH,5
NAIVASHA,21
NAKURU TOWN EAST,36
NAMBALE,1
NANDI HILLS,3
NAROK EAST,1
NAROK NORTH,1
NAROK SOUTH,2
NAROK WEST,1
NDARAGWA,5
NDHIWA,3
NDIA,4
NJORO,7
NORTH IMENTI,9
NORTH MUGIRANGO,8
NYALI,23
NYARIBARI CHACHE,7
NYARIBARI MASABA,1
NYATIKE,5
NYERI TOWN,9
OL KALOU,10
OTHAYA,3
POKOT SOUTH,5
RABAI,2
RANGWE,2
RONGAI,2
ROYSAMBU,33
RUARAKA,5
RUIRU,28
SABATIA,1
SABOTI,11
SAKU,4
SAMBURU EAST,2
SAMBURU WEST,5
SIGOWET/SOIN,2
SIRISIA,1
SOTIK,14
SOUTH IMENTI,9
SOY,3
STAREHE,86
SUBA,8
SUBUKIA,1
SUNA WEST,4
TAVETA,6
TESO SOUTH,4
THARAKA,3
THIKA TOWN,37
TIATY,1
TIGANIA EAST,2
TIGANIA WEST,1
TURBO,34
TURKANA CENTRAL,2
UGUNJA,3
VIHIGA,1
VOI,8
WEBUYE EAST,1
WEST MUGIRANGO,5
WESTLANDS,63
WUNDANYI,8
YATTA,6
