County,GPS Latitude,GPS Longitude
NAIROBI,-1.28274,36.81943
NAIROBI,-1.28358,36.82525
MOMBASA,-4.0633,39.67387
BUSIA,0.46097,34.11105
NAIROBI,-1.28241,36.827009999999994
NAIROBI,-1.28492,36.83647
NAIROBI,-1.28445,36.83126
TAITA-TAVETA,-3.40545,38.36544
MERU,0.04542,37.65399
MERU,0.046689999999999995,37.65268
WEST POKOT,1.25711,35.09333
NYERI,-0.48206000000000004,37.12572
NAIROBI,-1.3076299999999998,36.82323
NYERI,-0.48203,37.12263
NAIROBI,-1.2457,36.90655
MOMBASA,-4.00249,39.700179999999996
MURANGA,-0.6848,36.963809999999995
UASIN GISHU,0.5173300000000001,35.27625
KILIFI,-3.9651400000000003,39.549
NAIROBI,-1.2593,36.8792
UASIN GISHU,0.51657,35.28017
MURANGA,-0.72088,37.157270000000004
TURKANA,3.1196900000000003,35.59253
KWALE,-4.1376,39.314170000000004
KWALE,-4.282109999999999,39.567040000000006
NAIROBI,-1.2986799999999998,36.7582
NAIROBI,-1.29884,36.75793
TAITA-TAVETA,-3.39391,38.56111
TAITA-TAVETA,-3.3940300000000003,38.560959999999994
MURANGA,-0.9398299999999999,37.12516
KWALE,-4.174259999999999,39.45394
MOMBASA,-4.08445,39.65885
MOMBASA,-4.084569999999999,39.658809999999995
NAIROBI,-1.27104,36.912409999999994
MOMBASA,-4.05415,39.667770000000004
KWALE,-4.461790000000001,39.476009999999995
KWALE,-4.46176,39.47598
NAIROBI,-1.23603,36.93517
KAJIADO,-1.39723,36.75311
KAJIADO,-1.3971200000000001,36.75292
KAJIADO,-1.3604399999999999,36.65563
KILIFI,-3.03074,39.96195
KIAMBU,-1.01342,36.9057
KIAMBU,-1.05996,36.78289
TAITA-TAVETA,-3.3948099999999997,37.67335
SIAYA,-0.10135,34.27335
TAITA-TAVETA,-3.39625,37.67552
UASIN GISHU,0.29696999999999996,35.3259
KITUI,-0.55733,38.211859999999994
UASIN GISHU,0.51828,35.27191
UASIN GISHU,0.8737299999999999,35.12123
KITUI,-1.36523,38.01017
KITUI,-1.36612,38.00861
HOMA BAY,-0.53703,34.45616
SIAYA,0.18203,34.29603
BOMET,-0.78169,35.3423
KITUI,-0.93406,38.05697
KERICHO,-0.36988000000000004,35.28178
HOMA BAY,-0.36839,34.6519
KITUI,-0.93565,38.06205
MERU,0.04761,37.6528
KIRINYAGA,-0.4998,37.27844
MERU,0.047689999999999996,37.65513
THARAKA-NITHI,-0.15716,37.97807
ELGEYO MARAKWET,0.67024,35.50906
MURANGA,-0.68243,37.35476
ELGEYO MARAKWET,0.9776600000000001,35.563159999999996
KITUI,-1.8479400000000001,38.20766
KERICHO,-0.36058,35.17518
KIRINYAGA,-0.49808,37.273920000000004
MIGORI,-1.0714,34.46817
MACHAKOS,-1.14896,37.54714
SIAYA,-0.10232000000000001,34.276559999999996
SIAYA,-0.10232999999999999,34.276540000000004
LAIKIPIA,0.41229,36.31924
LAMU,-2.38916,40.69936
HOMA BAY,-0.51195,34.734159999999996
MIGORI,-0.99803,34.09483
BOMET,-0.78154,35.34047
MACHAKOS,-1.14595,37.54871
MAKUENI,-1.4785,36.958890000000004
ELGEYO MARAKWET,1.0391,35.3209
TANA RIVER,-2.2701,40.10859
MAKUENI,-2.41336,37.965
MAKUENI,-2.4135400000000002,37.965720000000005
VIHIGA,0.12162,34.73615
BOMET,-0.6896100000000001,35.11184
BOMET,-0.6905899999999999,35.11152
MAKUENI,-0.9346899999999999,38.056740000000005
NAROK,-1.00926,34.87887
BOMET,-0.8391,35.09496
MIGORI,-1.26319,34.65379
MAKUENI,-1.7802799999999999,37.62744
MAKUENI,-1.78017,37.627320000000005
KAJIADO,-2.8006,37.5359
BOMET,-0.6186699999999999,35.27218
KERICHO,-0.53135,35.025220000000004
KILIFI,-3.2125,40.11763
BOMET,-0.89538,35.20841
NAIROBI,-1.28631,36.82571
KERICHO,-0.5859800000000001,35.19079
KERICHO,-0.58492,35.18756
BOMET,-0.89425,35.21026
NAIROBI,-1.2846799999999998,36.82352
NAIROBI,-1.28459,36.82304
KILIFI,-3.222,40.11252
NAIROBI,-1.3003200000000001,36.78479
NAIROBI,-1.28958,36.7445
NAIROBI,-1.28114,36.82029
VIHIGA,0.0797,34.7208
KAJIADO,-1.35847,36.64904
BOMET,-1.36406,36.65656
NAIROBI,-1.28766,36.74893
TANA RIVER,-1.49775,40.03859
NAKURU,-0.28294,36.07476
MACHAKOS,-1.52354,37.26587
KIAMBU,-1.1475899999999999,36.961259999999996
NAIROBI,-1.2035799999999999,36.916109999999996
NAKURU,-0.32978,35.94262
NAKURU,-0.32926,35.94216
NAKURU,-0.28297,36.0748
NAROK,-0.71812,36.43493
NAKURU,-0.71883,36.435629999999996
MACHAKOS,-1.45891,37.43455
MACHAKOS,-1.51755,37.26603
NAKURU,-0.3325,35.94393
KAJIADO,-1.36246,36.65551
NAKURU,-0.28397,36.07301
NAIROBI,-1.2818,36.83562
NAIROBI,-1.28529,36.83678
NAKURU,-0.28554,36.07503
KIAMBU,-1.03606,37.074459999999995
KIAMBU,-1.03498,37.07462
KIAMBU,-1.03667,37.0763
KIAMBU,-1.0364200000000001,37.075559999999996
KIAMBU,-1.16852,36.82584
KIAMBU,-1.16707,36.825509999999994
NAKURU,-0.49996999999999997,36.32443
TRANS NZOIA,1.0091700000000001,35.00555
TRANS NZOIA,1.01563,35.00423
WEST POKOT,1.2592700000000001,35.09472
BUNGOMA,0.60625,34.77049
NYANDARUA,-0.27308000000000004,36.375809999999994
NAKURU,-0.24743,35.73158
NAKURU,-0.24794000000000002,35.73186
SAMBURU,1.09848,36.700540000000004
NAKURU,-0.28323000000000004,36.07439
NAIROBI,-1.2893,36.744240000000005
NAIROBI,-1.29863,36.79956
MURANGA,-0.7208399999999999,37.159490000000005
MURANGA,-0.72092,37.15749
NYERI,-0.42128999999999994,36.94919
KILIFI,-3.8639300000000003,39.47442
KILIFI,-3.6313199999999997,39.85223
MOMBASA,-4.04015,39.68111
KILIFI,-3.6305699999999996,39.8533
KIAMBU,-1.14714,36.96012
KIAMBU,-1.24484,36.66332
KILIFI,-3.3502099999999997,40.0189
MACHAKOS,-1.41221,37.33007
MACHAKOS,-1.26702,37.32229
MACHAKOS,-1.2667,37.32112
KIAMBU,-1.1679,36.82588
KAJIADO,-1.39616,36.75332
MERU,0.23225,37.94007
KAJIADO,-1.47837,36.957840000000004
UASIN GISHU,0.51735,35.27322
KAJIADO,-1.4766700000000001,36.95868
NAIROBI,-1.2823200000000001,36.820440000000005
NAIROBI,-1.2725600000000001,36.91142
NAIROBI,-1.20519,36.91778
EMBU,-0.53574,37.45115
MAKUENI,-2.0809599999999997,37.47381
KIAMBU,-1.03837,37.07666
