County,GPS Latitude,GPS Longitude
UASIN GISHU,0.51723,35.2747
MOMBASA,-4.06332,39.67542
NAIROBI,-1.28227,36.821259999999995
MURANGA,-0.73078,37.149159999999995
TAITA-TAVETA,-3.40099,38.31341
NAIROBI,-1.2878,36.83378
TAITA-TAVETA,-3.3853400000000002,38.33763
NAIROBI,-1.2873299999999999,36.83699
NAIROBI,-1.29189,36.84216
TAITA-TAVETA,-3.3549800000000003,38.3611
UASIN GISHU,0.5169600000000001,35.27378
BUSIA,0.46007,34.11224
UASIN GISHU,0.51635,35.27705
UASIN GISHU,0.51678,35.277409999999996
UASIN GISHU,0.51582,35.27721
UASIN GISHU,0.51798,35.27852
UASIN GISHU,0.51744,35.27795
NAIROBI,-1.2328700000000001,36.87361
KISII,-0.67335,34.77064
UASIN GISHU,0.51522,35.273579999999995
UASIN GISHU,0.5150899999999999,35.2734
WEST POKOT,1.25989,35.097879999999996
KWALE,-3.79435,39.26258
UASIN GISHU,0.51937,35.27462
WEST POKOT,1.25714,35.09332
KWALE,-4.3656,39.41585
KWALE,-4.54352,39.12968
MOMBASA,-4.03664,39.68204
MOMBASA,-4.08485,39.6622
TAITA-TAVETA,-3.3938900000000003,38.56111
KWALE,-4.29064,39.26704
KWALE,-4.17432,39.45412
NAIROBI,-1.20547,36.91867
WEST POKOT,1.2583,35.093920000000004
NAIROBI,-1.27702,36.90808
MOMBASA,-4.08445,39.659
NAIROBI,-1.29615,36.8869
BUSIA,0.46456000000000003,34.10365
TAITA-TAVETA,-3.4549,38.312529999999995
MOMBASA,-4.06494,39.66359
NAIROBI,-1.28667,36.74638
MOMBASA,-4.06389,39.673590000000004
KWALE,-4.4618199999999995,39.47599
KWALE,-4.461790000000001,39.47596
KWALE,-4.46103,39.47746
MOMBASA,-4.06323,39.67232
MOMBASA,-4.06297,39.67204
MOMBASA,-4.06278,39.67242
MOMBASA,-4.06079,39.67183
KILIFI,-3.20733,40.11632
KILIFI,-3.20748,40.116209999999995
KILIFI,-3.2076,40.116
KILIFI,-3.20705,40.11691
KILIFI,-3.8176400000000004,39.626290000000004
TAITA-TAVETA,-3.3936599999999997,38.56088
KWALE,-3.79484,39.26201
KILIFI,-3.63081,39.85226
MOMBASA,-4.03681,39.68173
MOMBASA,-4.08442,39.658809999999995
MOMBASA,-4.04105,39.6828
MOMBASA,-4.0399199999999995,39.68077
NAIROBI,-1.28559,36.88035
KILIFI,-3.6303,39.85399
MOMBASA,-4.059419999999999,39.672979999999995
KISII,-0.67478,34.77189
BUNGOMA,0.78095,34.719559999999994
MOMBASA,-4.02194,39.702290000000005
NYAMIRA,-0.6731600000000001,34.91375
TAITA-TAVETA,-3.4493099999999997,38.36443
MOMBASA,-4.040080000000001,39.68053
KIAMBU,-1.2192399999999999,36.71387
KWALE,-4.35586,39.315290000000005
WEST POKOT,1.30605,35.20373
KAJIADO,-1.4782,36.95763
KAJIADO,-1.48169,36.95606
MOMBASA,-4.0268,39.69525
WEST POKOT,1.25967,35.098440000000004
MOMBASA,-4.03653,39.68193
MOMBASA,-4.06024,39.67142
KAJIADO,-1.42751,36.686440000000005
MOMBASA,-4.005319999999999,39.58141
KAJIADO,-1.39648,36.76303
MOMBASA,-4.04807,39.688759999999995
TAITA-TAVETA,-3.4045300000000003,38.3668
MOMBASA,-4.06159,39.66813
KAJIADO,-1.47842,36.958459999999995
KAJIADO,-1.39639,36.75312
KAJIADO,-1.4792399999999999,36.95722
KAJIADO,-1.4782899999999999,36.95762
MURANGA,-1.01949,37.38171
KAJIADO,-1.47395,36.9589
KAJIADO,-1.47765,36.959
KAJIADO,-1.47763,36.9587
KIAMBU,-1.1008200000000001,36.79715
UASIN GISHU,0.82405,35.12316
KAJIADO,-1.8417700000000001,36.78672
KAJIADO,-1.4780799999999998,36.95802
MURANGA,-0.72109,37.157740000000004
KIAMBU,-1.17149,36.82437
KIAMBU,-1.0561200000000002,36.77518
KIAMBU,-1.05079,36.868320000000004
TAITA-TAVETA,-3.6861099999999998,38.66961
KAJIADO,-1.05014,36.33228
TAITA-TAVETA,-3.3303,38.42945
KWALE,-3.9666699999999997,39.381170000000004
TAITA-TAVETA,-3.28053,38.3023
KAJIADO,-1.396,36.75275
HOMA BAY,-0.52857,34.45555
HOMA BAY,-0.53035,34.45858
KITUI,-1.3651799999999998,38.01021
KITUI,-1.47844,36.95872
HOMA BAY,-0.5359,34.45621
BOMET,-0.7821899999999999,35.339690000000004
TRANS NZOIA,1.01472,35.00071
KAKAMEGA,0.2819,34.75334
KITUI,-1.32128,38.01967
THARAKA-NITHI,-0.3351,37.64675
KERICHO,-0.36985999999999997,35.282990000000005
THARAKA-NITHI,-0.33493,37.647
KITUI,-1.3669,38.0096
MERU,0.04759,37.65146
THARAKA-NITHI,-0.33465,37.64595
KITUI,-1.3574,38.00708
MERU,0.04782,37.65605
ELGEYO MARAKWET,0.6695,35.506
ELGEYO MARAKWET,0.66895,35.50598
ELGEYO MARAKWET,0.6688,35.50611
HOMA BAY,-0.35095,34.767920000000004
BOMET,-0.7296100000000001,35.34848
KITUI,-1.8485900000000002,38.20668
MERU,0.04828,37.65453
MACHAKOS,-1.14701,37.54809
BARINGO,0.01693,36.096059999999994
KITUI,-1.22624,38.187709999999996
KITUI,-0.30726,38.21796
MARSABET,2.32976,37.989290000000004
HOMA BAY,-0.47531,34.547270000000005
NAIROBI,-1.26495,36.74935
KIRINYAGA,-0.49595,37.351859999999995
LAMU,-2.17873,40.811440000000005
MAKUENI,-2.01864,37.373470000000005
EMBU,-0.85524,37.695409999999995
MACHAKOS,-1.1447,37.546440000000004
KITUI,-0.9345,38.05587
SIAYA,-0.10224,34.27871
SIAYA,-0.10227,34.27655
NAROK,-0.83185,35.58147
MAKUENI,-2.01683,37.36984
MACHAKOS,-0.9723200000000001,37.60415
KIRINYAGA,-0.49928,37.27815
LAMU,-2.38972,40.69915
HOMA BAY,-0.42937,34.69047
MAKUENI,-1.79257,37.36303
THARAKA-NITHI,-0.3276,37.86368
LAMU,-2.38882,40.69729
HOMA BAY,-0.50739,34.73632
MIGORI,-0.99982,34.09898
MAKUENI,-1.79415,37.362429999999996
KIRINYAGA,-0.49291,37.39863
BOMET,-0.8429200000000001,35.37117
BOMET,-0.78084,35.34325
