County,GPS Latitude,GPS Longitude
UASIN GISHU,0.51683,35.27517
NAKURU,-0.28603,36.063829999999996
NAKURU,-0.28619,36.06487
NAIROBI,-1.28223,36.824529999999996
NAKURU,-0.28584,36.063990000000004
UASIN GISHU,0.51669,35.27459
TAITA-TAVETA,-3.4043300000000003,38.365590000000005
BUSIA,0.4647,34.10378
BUSIA,0.46476999999999996,34.10357
MOMBASA,-4.06294,39.67224
NAIROBI,-1.28544,36.826159999999994
MURANGA,-0.93761,37.12454
NAIROBI,-1.28219,36.82055
NAIROBI,-1.2842799999999999,36.82481
NAIROBI,-1.27962,36.82052
MOMBASA,-4.04942,39.66482
TAITA-TAVETA,-3.4068400000000003,38.3644
NYERI,-0.42046000000000006,36.9499
NYERI,-0.42253999999999997,36.95251
NAIROBI,-1.27892,36.81814
NAIROBI,-1.28711,36.83732
UASIN GISHU,0.51475,35.27517
NAIROBI,-1.28714,36.83736
MURANGA,-0.7903100000000001,37.13239
NAIROBI,-1.2870700000000002,36.837379999999996
KILIFI,-3.21747,40.12451
NAIROBI,-1.2913,36.8414
NAIROBI,-1.29185,36.84253
MURANGA,-0.79187,37.13082
NAIROBI,-1.28546,36.840920000000004
NYERI,-0.48203,37.12539
MURANGA,-0.93678,37.122609999999995
MURANGA,-0.9381700000000001,37.12549
BUNGOMA,0.56638,34.56152
BUNGOMA,0.56392,34.559490000000004
UASIN GISHU,0.5164300000000001,35.2735
NAIROBI,-1.2812299999999999,36.69375
NAIROBI,-1.31377,36.83615
NYERI,-0.48291000000000006,37.1254
NAIROBI,-1.28711,36.75332
UASIN GISHU,0.51672,35.27734
UASIN GISHU,0.51726,35.27812
NYERI,-0.42506000000000005,36.9544
UASIN GISHU,0.51632,35.277159999999995
NYERI,-0.48249,37.12675
UASIN GISHU,0.51579,35.27728
NAIROBI,-1.2656100000000001,36.749190000000006
UASIN GISHU,0.5175,35.278240000000004
NAIROBI,-1.2558799999999999,36.86699
UASIN GISHU,0.51795,35.27844
MOMBASA,-3.9963,39.70602
TAITA-TAVETA,-3.39456,38.56265
NAKURU,-0.2857,36.06518
NAIROBI,-1.25841,36.9228
UASIN GISHU,0.5163,35.2773
UASIN GISHU,0.51969,35.276720000000005
UASIN GISHU,0.5177,35.27604
TURKANA,3.12012,35.59453
MERU,0.1623,37.74821
UASIN GISHU,0.51346,35.28058
UASIN GISHU,0.52103,35.27545
MURANGA,-0.72115,37.15761
MOMBASA,-4.0398,39.65821
NAIROBI,-1.26623,36.74827
WEST POKOT,1.25644,35.09217
