Biogas,Charcoal,Constituency,County,Electricity,Firewood,Households,LPG,Other,Paraffin,Solar
0.2,2.3,Tiaty,Baringo,0.0,96.9,21152.0,0.1,0.2,0.3,0.0
0.2,4.2,BaringoNorth,Baringo,0.0,94.7,18935.0,0.1,0.1,0.6,0.1
0.3,18.2,BaringoCentral,Baringo,0.6,77.0,15864.0,1.1,0.1,2.6,0.0
0.3,12.0,BaringoSouth,Baringo,0.2,86.3,16823.0,0.2,0.1,0.8,0.1
0.3,10.7,Mogotio,Baringo,0.1,88.0,11853.0,0.2,0.1,0.5,0.0
0.3,21.0,EldamaRavine,Baringo,0.3,76.1,22506.0,1.1,0.1,1.1,0.0
0.0,3.4,Sotik,Bomet,0.1,94.0,6746.0,0.1,0.1,2.3,0.1
0.2,1.1,Chepalungu,Bomet,0.1,97.5,5166.0,0.1,0.0,0.9,0.0
0.2,9.6,BometEast,Bomet,0.1,88.6,5297.0,0.4,0.2,1.0,0.1
0.6,28.2,BometCentral,Bomet,0.9,63.9,5394.0,2.1,0.2,4.0,0.1
0.3,0.9,Konoin,Bomet,0.4,95.3,8826.0,0.4,0.0,2.7,0.0
0.4,12.6,MtElgon,Bungoma,0.1,84.7,5634.0,0.2,0.1,2.0,0.0
0.2,2.9,Sirisia,Bungoma,0.2,94.4,5168.0,0.1,0.0,2.2,0.0
0.3,21.3,Kabuchai,Bungoma,0.4,74.5,7343.0,0.4,0.2,2.9,0.0
0.4,1.5,Bumula,Bungoma,0.1,97.6,4297.0,0.1,0.0,0.2,0.0
0.3,4.9,Kanduyi,Bungoma,0.1,93.7,3663.0,0.1,0.1,0.8,0.0
0.8,6.0,WebuyeEast,Bungoma,0.1,91.4,7187.0,0.4,0.1,1.2,0.0
0.6,4.0,WebuyeWest,Bungoma,0.1,94.5,5751.0,0.2,0.1,0.6,0.0
0.4,10.7,Kimilili,Bungoma,0.2,86.5,6460.0,0.6,0.2,1.5,0.0
0.5,2.3,Tongaren,Bungoma,0.1,96.3,5606.0,0.1,0.0,0.7,0.0
1.1,48.9,TesoNorth,Busia,0.6,37.4,6070.0,2.5,1.2,8.3,0.0
0.6,57.6,TesoSouth,Busia,0.8,30.7,4160.0,3.2,0.4,6.6,0.1
0.4,17.8,Nambale,Busia,0.3,78.9,6584.0,0.3,0.3,2.0,0.0
0.2,8.3,Matayos,Busia,0.4,89.6,6562.0,0.4,0.0,1.2,0.0
0.2,13.8,Butula,Busia,0.0,84.6,4316.0,0.1,0.2,1.0,0.0
0.1,6.3,Funyula,Busia,0.1,91.5,5701.0,0.2,0.1,1.7,0.0
0.2,4.4,Budalangi,Busia,0.1,94.5,2453.0,0.2,0.2,0.4,0.1
0.1,3.5,MarakwetEast,Elgeyo Marakwet,0.0,95.8,3694.0,0.0,0.0,0.5,0.1
0.0,6.8,MarakwetWest,Elgeyo Marakwet,0.0,92.7,3749.0,0.1,0.0,0.2,0.0
0.2,6.8,KeiyoNorth,Elgeyo Marakwet,0.1,92.1,4850.0,0.3,0.0,0.6,0.0
0.2,5.1,KeiyoSouth,Elgeyo Marakwet,0.3,93.7,3666.0,0.2,0.1,0.3,0.0
0.5,12.2,Manyatta,Embu,0.7,81.6,7302.0,1.3,0.2,3.3,0.1
0.4,9.7,Runyenjes,Embu,0.3,86.9,6302.0,0.7,0.4,1.5,0.0
0.2,7.5,MbeereSouth,Embu,0.1,85.2,7303.0,1.2,0.4,5.2,0.1
0.3,8.5,MbeereNorth,Embu,0.2,84.8,6730.0,2.1,0.2,3.8,0.1
0.2,70.1,GarissaTownship,Garissa,1.2,26.9,3119.0,0.2,0.2,1.2,0.1
0.3,3.9,Balambala,Garissa,0.0,94.7,2623.0,0.2,0.8,0.0,0.1
0.2,2.6,Lagdera,Garissa,0.0,96.2,3926.0,0.3,0.2,0.4,0.1
0.2,0.6,Dadaab,Garissa,0.0,98.7,2065.0,0.1,0.1,0.1,0.0
0.5,12.1,Fafi,Garissa,0.0,86.7,1062.0,0.1,0.2,0.4,0.0
0.2,0.6,Ijara,Garissa,0.0,98.6,2652.0,0.1,0.0,0.4,0.0
0.5,3.7,Kasipul,HomaBay,0.0,95.2,5408.0,0.0,0.1,0.5,0.0
0.4,12.1,KabondoKasipul,HomaBay,0.1,86.2,6315.0,0.3,0.1,0.6,0.1
0.2,4.0,Karachuonyo,HomaBay,0.1,95.2,4920.0,0.0,0.0,0.4,0.0
0.6,3.9,Rangwe,HomaBay,0.0,95.0,4101.0,0.1,0.0,0.4,0.0
0.8,45.4,HomaBayTown,HomaBay,1.1,44.8,7026.0,2.5,0.3,5.0,0.1
0.4,3.8,Ndhiwa,HomaBay,0.3,94.5,6296.0,0.1,0.1,0.7,0.1
0.2,34.0,SubaNorth,HomaBay,0.1,63.2,5510.0,0.1,0.5,1.9,0.1
0.4,4.5,SubaSouth,HomaBay,0.0,93.6,6771.0,0.1,0.1,1.2,0.0
