Constituency,County,FamilyAgriculturalHolding,FamilyBusiness,FulltimeStudent,Incapacitated,InternVolunteer,Nowork,NumberofIndividuals,RetiredHomemaker,Workforpay
Tiaty,Baringo,56.0,11.4,6.5,0.3,0.4,4.0,55908.0,18.3,3.0
BaringoNorth,Baringo,37.2,9.3,13.5,0.5,0.7,10.7,45291.0,14.5,13.7
BaringoCentral,Baringo,23.6,9.4,17.0,0.5,1.3,13.0,40395.0,11.5,23.8
BaringoSouth,Baringo,40.3,13.7,11.1,0.7,1.7,8.8,38094.0,10.4,13.4
Mogotio,Baringo,18.1,10.3,23.3,0.6,1.0,9.2,29613.0,21.5,16.1
EldamaRavine,Baringo,30.2,9.8,19.0,0.5,0.7,6.4,54433.0,10.3,23.2
Sotik,Bomet,51.4,11.3,21.0,0.5,1.0,2.1,17750.0,1.9,10.8
Chepalungu,Bomet,49.4,11.3,21.5,0.4,1.2,3.0,14062.0,3.0,10.2
BometEast,Bomet,61.2,6.9,12.9,0.4,0.6,4.3,14581.0,3.1,10.8
BometCentral,Bomet,37.4,17.1,12.9,0.2,1.0,4.3,14958.0,2.5,24.7
Konoin,Bomet,6.2,3.3,8.2,0.1,0.8,2.1,16035.0,4.7,74.6
MtElgon,Bungoma,68.2,10.1,8.0,0.3,0.9,2.3,13771.0,1.2,9.1
Sirisia,Bungoma,72.3,5.8,7.3,0.4,1.8,4.7,12983.0,1.1,6.8
Kabuchai,Bungoma,46.2,20.2,13.3,0.5,0.9,3.2,17509.0,2.2,13.7
Bumula,Bungoma,63.8,10.3,9.2,0.4,0.6,2.8,11015.0,2.9,10.0
Kanduyi,Bungoma,46.9,11.2,18.4,0.5,1.0,3.8,9778.0,3.3,15.0
WebuyeEast,Bungoma,48.3,12.3,13.1,0.5,0.9,5.8,18176.0,3.5,15.8
WebuyeWest,Bungoma,53.5,13.0,14.4,0.2,0.8,4.6,14771.0,3.1,10.4
Kimilili,Bungoma,42.0,12.0,22.1,0.3,0.9,3.5,16623.0,4.5,14.7
Tongaren,Bungoma,43.2,10.1,22.4,0.6,0.7,3.7,14843.0,9.6,9.8
TesoNorth,Busia,23.9,26.4,11.9,0.2,1.0,7.4,13177.0,4.2,25.0
TesoSouth,Busia,19.6,19.0,14.3,0.6,1.2,9.9,14008.0,7.9,27.5
Nambale,Busia,44.1,12.7,13.8,0.5,1.4,3.8,15631.0,6.9,16.8
Matayos,Busia,48.0,8.8,15.1,0.6,0.9,5.4,15808.0,7.3,14.0
Butula,Busia,52.2,11.0,11.1,0.6,0.7,3.8,9872.0,5.8,15.0
Funyula,Busia,59.2,8.5,11.7,0.9,1.0,5.1,13255.0,3.6,10.0
Budalangi,Busia,46.4,11.1,14.9,1.2,2.8,2.5,5136.0,7.8,13.3
MarakwetEast,Elgeyo Marakwet,78.8,3.3,6.1,0.4,0.5,0.8,8092.0,0.4,9.7
MarakwetWest,Elgeyo Marakwet,57.9,7.1,14.0,0.2,1.9,3.5,9779.0,1.9,13.6
KeiyoNorth,Elgeyo Marakwet,25.6,11.1,22.5,0.4,0.6,3.4,13114.0,22.7,13.7
KeiyoSouth,Elgeyo Marakwet,30.8,5.1,18.9,0.4,0.7,4.6,9633.0,22.5,17.0
Manyatta,Embu,41.3,9.9,10.0,0.3,2.3,6.6,16295.0,2.6,27.1
Runyenjes,Embu,50.0,10.5,10.2,0.5,1.7,5.0,14085.0,0.9,21.1
MbeereSouth,Embu,41.5,12.8,7.7,0.7,0.7,6.3,16331.0,7.9,22.5
MbeereNorth,Embu,54.4,12.7,5.1,0.5,0.4,2.5,15072.0,4.5,20.0
GarissaTownship,Garissa,9.5,15.8,10.9,0.6,4.3,28.0,10363.0,15.4,15.5
Balambala,Garissa,37.9,16.0,4.0,0.3,1.8,21.2,10571.0,13.9,4.8
Lagdera,Garissa,18.4,29.6,5.6,0.2,1.5,26.8,14446.0,12.1,5.7
Dadaab,Garissa,29.1,34.9,6.6,0.2,0.7,18.4,6584.0,6.4,3.8
Fafi,Garissa,53.0,12.7,3.0,0.3,1.0,6.3,2443.0,13.1,10.6
Ijara,Garissa,36.4,24.0,7.8,0.2,2.4,17.8,9564.0,4.5,6.8
Kasipul,HomaBay,63.4,6.4,14.1,0.8,0.7,2.6,11915.0,3.2,8.8
KabondoKasipul,HomaBay,37.1,17.6,21.4,0.7,0.8,3.8,15171.0,6.9,11.8
Karachuonyo,HomaBay,19.5,17.7,17.5,1.0,1.0,7.9,12919.0,17.5,17.9
Rangwe,HomaBay,71.2,5.0,9.8,0.9,0.6,2.2,8923.0,4.5,5.8
HomaBayTown,HomaBay,19.7,17.2,14.6,0.3,1.5,9.3,15177.0,7.3,30.1
Ndhiwa,HomaBay,63.7,8.7,11.9,0.9,1.3,3.8,14141.0,4.0,5.7
SubaNorth,HomaBay,19.0,21.5,13.7,0.4,1.1,4.2,13825.0,10.4,29.6
SubaSouth,HomaBay,43.1,11.7,13.1,1.1,0.9,7.7,15947.0,11.3,11.1
IsioloNorth,Isiolo,11.4,12.2,18.1,0.5,1.9,14.1,8875.0,11.0,30.9
IsioloSouth,Isiolo,37.4,20.6,6.5,0.3,1.2,10.5,8051.0,16.0,7.4
KajiadoNorth,Kajiado,6.4,15.3,12.6,0.3,1.5,7.6,26379.0,13.6,42.7
KajiadoCentral,Kajiado,21.7,17.8,18.8,0.2,1.7,5.0,2360.0,19.7,15.1
KajiadoEast,Kajiado,6.6,11.8,13.9,0.2,1.0,5.9,17009.0,18.2,42.4
KajiadoWest,Kajiado,10.0,19.1,13.9,0.3,1.3,8.4,21185.0,18.2,28.8
KajiadoSouth,Kajiado,37.3,5.6,11.7,0.6,1.3,8.5,10257.0,28.1,7.2
Lugari,Kakamega,50.3,10.7,12.8,0.5,1.1,6.4,12155.0,5.3,13.0
Likuyani,Kakamega,31.2,10.7,12.7,0.9,1.0,10.4,13724.0,13.7,19.5
Malava,Kakamega,59.6,5.1,10.4,0.4,0.7,1.2,12341.0,4.5,18.1
Lurambi,Kakamega,53.6,10.8,9.2,0.4,0.6,2.5,11629.0,0.5,22.5
Navakholo,Kakamega,62.6,7.1,11.1,0.7,0.9,2.9,10687.0,1.3,13.3
MumiasWest,Kakamega,19.3,15.1,15.3,0.4,1.1,9.4,19676.0,9.9,29.4
MumiasEast,Kakamega,39.0,9.5,17.2,0.5,1.2,6.7,17998.0,8.2,17.9
Matungu,Kakamega,38.4,8.9,16.3,0.6,1.0,8.9,16637.0,7.4,18.5
Butere,Kakamega,50.7,11.8,15.5,0.6,2.0,3.2,15057.0,3.0,13.3
Khwisero,Kakamega,51.3,9.9,15.8,0.8,2.6,3.2,9161.0,4.5,11.9
Shinyalu,Kakamega,39.3,10.4,11.3,0.5,1.4,6.1,11360.0,9.0,22.0
Ikolomani,Kakamega,29.3,6.7,14.0,0.8,1.2,14.1,9687.0,20.1,13.8
KipkelionEast,Kericho,42.5,11.0,20.0,0.5,0.8,3.1,12184.0,5.9,16.4
