Bucket,Bush,CessPool,Constituency,County,ImprovedSanitation,MainSewer,NumberofHHMembers,Other,PitLatrine,PitLatrineUncovered,SepticTank,UnimprovedSanitation,VIPLatrine
0.01,94.88,0.04,Tiaty,Baringo,3.48,0,132070,0.06,3.02,1.57,0.04,96.52,0.37
0.02,39.25,0.03,Baringo North,Baringo,51,0.02,93383,0.05,47.41,9.67,0.04,49,3.5
0,11.77,0.2,Baringo Central,Baringo,68.81,0.99,78634,0.02,57.74,19.4,1.56,31.19,8.33
0.03,50.79,0.01,Baringo South,Baringo,28.38,0.03,80229,0.02,24.43,20.78,0.27,71.62,3.64
0,52.41,0.04,Mogotio,Baringo,41.4,0.01,60136,0.07,33.92,6.11,0.19,58.6,7.23
0.09,5.36,0.03,Eldama Ravine,Baringo,59.37,0.37,104183,0.05,49.18,35.14,1.95,40.63,7.84
0.02,3.19,0.05,Sotik,Bomet,47.75,0.12,36841,0.02,46.29,49.01,0.01,52.25,1.29
0.05,4.28,0.05,Chepalungu,Bomet,85.13,0.08,29149,0.02,83.6,10.51,0.05,14.87,1.35
0.05,2.63,0.01,Bomet East,Bomet,56.58,0.02,28815,0.12,55.25,40.62,0.02,43.42,1.28
0.09,1.83,0.25,Bomet Central,Bomet,70.37,0.29,26995,0.03,62.79,27.68,2.76,29.63,4.29
0.09,0.05,0.04,Konoin,Bomet,97.55,0.47,25594,0,95,2.31,1.05,2.45,0.99
0,0.76,0.05,Mt. Elgon,Bungoma,52.37,0.09,28639,0.21,48.06,46.65,0.01,47.63,4.16
0.02,1.6,0.01,Sirisia,Bungoma,79.16,0.06,27263,0.23,75.28,18.99,0.14,20.84,3.68
0.13,3.35,0.06,Kabuchai,Bungoma,81.87,0.09,35395,0.32,76.07,14.32,0.06,18.13,5.59
0.07,3.58,0,Bumula,Bungoma,84.05,0,23132,0.1,83.28,12.2,0,15.95,0.77
0.14,0.73,0,Kanduyi,Bungoma,84.96,0.04,20292,0.05,81.66,14.11,0.05,15.04,3.21
0.05,1.83,0.03,Webuye East,Bungoma,72.95,0.22,37734,0.14,67.63,25.03,0.92,27.05,4.15
0.02,1.46,0.03,Webuye West,Bungoma,67.82,0.06,31338,0.24,63.91,30.46,0.1,32.18,3.72
0.34,0.69,0.14,Kimilili,Bungoma,80.49,1.6,34247,0.13,73.87,18.35,0.79,19.51,4.08
0.06,1.6,0.05,Tongaren,Bungoma,81.64,0,31955,0.32,73.03,16.39,0.08,18.36,8.48
0.33,2.95,0.78,Teso North,Busia,75.05,0.22,24109,0.07,65.62,21.6,3.07,24.95,5.36
0.12,2.3,0.2,Teso South,Busia,81.38,3.47,25303,0.09,62.11,16.1,4,18.62,11.61
0.15,3.68,0.04,Nambale,Busia,44.66,0.05,31816,0.06,35.03,51.45,0.37,55.34,9.17
0.02,6.29,0.05,Matayos,Busia,54.53,0.06,32721,0.18,45.81,38.98,0.24,45.47,8.38
0.08,8.83,0.11,Butula,Busia,33.04,0.05,20104,0.04,31.36,57.99,0.06,66.96,1.46
0.02,5.11,0.08,Funyula,Busia,82.32,0.15,28136,0.21,77.26,12.34,0.26,17.68,4.58
0.18,9.76,0.15,Budalangi,Busia,59.35,0,10378,0,58.33,30.71,0.19,40.65,0.66
0,14.69,0.04,Marakwet East,Elgeyo Marakwet,42.78,0,17054,0,42.37,42.52,0,57.22,0.38
0,2.67,0.02,Marakwet West,Elgeyo Marakwet,52,0.01,20106,0.04,51.05,45.28,0.11,48,0.81
0.05,0.84,0,Keiyo North,Elgeyo Marakwet,18.74,0.03,24935,0.05,13.74,80.32,0.07,81.26,4.9
0.07,1.5,0.01,Keiyo South,Elgeyo Marakwet,62.24,0.43,18490,0.03,58.22,36.15,0.63,37.76,2.96
0.09,0.08,0.09,Manyatta,Embu,71.21,2.21,27413,0.06,54.99,28.56,2.55,28.79,11.37
0.03,0.19,0.14,Runyenjes,Embu,55.72,0.26,24309,0.03,37.19,44.04,1.02,44.28,17.11
0.05,2.78,0.05,Mbeere South,Embu,86.28,0.18,29752,0.17,79.16,10.71,0.14,13.72,6.75
0,0.67,0.13,Mbeere North,Embu,89.2,0.46,26498,0.05,80.94,10.08,0.77,10.8,6.91
0.17,8.91,1,Garissa Township,Garissa,59.86,1.5,20578,0.49,51.38,30.57,0.85,40.14,5.14
0.09,81.43,0.12,Balambala,Garissa,11.78,0,20262,1.55,7.8,5.15,0.07,88.22,3.79
0.23,77.52,0.06,Lagdera,Garissa,9.91,0,28773,0.13,9.39,12.21,0,90.09,0.46
0.07,90.39,0,Dadaab,Garissa,7.53,0.06,14938,0.11,6.96,1.9,0.05,92.47,0.46
0,80.71,0,Fafi,Garissa,12.58,0,5247,0,12.27,6.71,0.02,87.42,0.29
0.08,94.18,0,Ijara,Garissa,0.26,0,20763,0.1,0.26,5.38,0,99.74,0
0.06,27.17,0.02,Kasipul,HomaBay,53.65,0,25696,0.25,52.04,18.87,0,46.35,1.58
0.07,7.6,0,Kabondo Kasipul,HomaBay,64.01,0.02,31840,0.03,61.91,28.28,0.05,35.99,2.04
0.01,52.93,0.08,Karachuonyo,HomaBay,38.57,0.06,25947,0.25,36.74,8.24,0.08,61.43,1.61
0.15,34.36,0.1,Rangwe,HomaBay,18.39,0,19365,0.49,16.08,46.62,0.06,81.61,2.15
0.04,26.25,0.03,Homa Bay Town,HomaBay,43.06,17.15,29577,0.03,21.09,30.62,0.78,56.94,4
0.04,72.53,0.1,Ndhiwa,HomaBay,12.4,0.14,31530,0.14,10.33,14.88,0.22,87.6,1.62
0,70.5,0.12,Suba North,HomaBay,20.16,0.86,25489,0.02,17.3,9.31,0.04,79.84,1.83
0.02,55.8,0.06,Suba South,HomaBay,31.95,0,34440,0.07,31.1,12.17,0.05,68.05,0.74
0.2,5.2,0.1,Isiolo North,Isiolo,46.61,22.28,16264,0.92,17.79,47.07,3.9,53.39,2.53
0.02,70.79,0.11,Isiolo South,Isiolo,26.84,0,16120,0,21.25,2.35,0.15,73.16,5.33
0.25,0.55,0.62,Kajiado North,Kajiado,77.23,1.02,41162,0.04,48.55,21.93,17.58,22.77,9.46
0,79.76,0,Kajiado Central,Kajiado,18.93,0,5335,0.06,16.14,1.26,0.15,81.07,2.64
0.03,25.07,0.05,Kajiado East,Kajiado,69.49,1.54,28874,0.8,65.15,4.61,0.79,30.51,1.96
0.03,25.11,0.07,Kajiado West,Kajiado,55.42,0.32,38361,0.01,43.32,19.43,5.85,44.58,5.86
0,59.7,0,Kajiado South,Kajiado,21.5,0.34,23043,0.1,20.54,18.7,0.13,78.5,0.49
0.24,0.71,0.07,Lugari,Kakamega,91.97,0,24897,0.02,89.31,7.06,0.03,8.03,2.55
0.28,0.58,0.11,Likuyani,Kakamega,88.3,0.21,26982,0.02,68.11,10.82,0.31,11.7,19.55
0.08,1.49,0,Malava,Kakamega,69.82,0,26108,0.24,66.36,28.37,0,30.18,3.45
0.06,1.59,0.05,Lurambi,Kakamega,88.85,0.07,23013,0.55,78.83,8.95,0.33,11.15,9.56
0.05,0.44,0.1,Navakholo,Kakamega,88.51,0.08,22061,0.03,79.87,10.97,0.08,11.49,8.38
0.12,1.07,0.04,Mumias West,Kakamega,90.26,3.94,36474,0.07,80.73,8.47,2.97,9.74,2.57
0.03,1.5,0.03,Mumias East,Kakamega,91.34,0.03,37165,0.08,83.75,7.05,0.07,8.66,7.45
0.17,3.8,0.07,Matungu,Kakamega,89.38,0.05,35804,0.06,84.95,6.59,0.11,10.62,4.2
0,0.85,0.52,Butere,Kakamega,88.09,0.1,31235,0.15,82.59,10.91,0.04,11.91,4.83
0.03,1.78,0,Khwisero,Kakamega,80.93,0,19074,0.42,74.02,16.84,0.36,19.07,6.55
0.1,0.35,0.06,Shinyalu,Kakamega,95.75,0.09,22306,0.01,88.93,3.79,2.03,4.25,4.65
0,0.73,0.06,Ikolomani,Kakamega,95.25,0.41,20149,0.02,86.93,4,0.12,4.75,7.73
0.05,0.84,0.05,Kipkelion East,Kericho,62.28,0,24327,0,59.95,36.83,0.13,37.72,2.15
0,12.88,0,Kipkelion West,Kericho,62.82,0.12,21665,0.04,61.82,24.26,0,37.18,0.88
0.05,3.39,0.01,Ainamoi,Kericho,70.72,0.09,27544,0.07,66.43,25.76,0.13,29.28,4.06
0.02,0.33,0,Bureti,Kericho,54.81,0.06,21232,0.02,53.04,44.82,0.31,45.19,1.4
0.02,2.38,0,Belgut,Kericho,54.75,0.05,32816,0.03,51.63,42.81,0.14,45.25,2.93
0.02,5.08,0.1,Sigowet/Soin,Kericho,57.54,0.05,35883,0.13,55.31,37.22,0.23,42.46,1.85
