Form Name,Form Created,Form Submitted,County,GPS Latitude,GPS Longitude,GPS Accuracy,Kenya Questionnaire,Kenya Multi Sector Mapping Project,In What Year Did This Establishment Begin Operations?,Is the Outlet Regulated?,If Yes by who?,What Services are Offered at this Establishment: Member Recruitment,What Services are Offered at this Establishment: Cash-In,What Services are Offered at this Establishment: Cash-Out,What Services are Offered at this Establishment: Account Opening,Type of SACCO Products Offered: Savings Products,Type of SACCO Products Offered: Loan Products,Type of SACCO Products Offered: Remittance,Type of SACCO Products Offered: Insurance Products,Have You Ever Experienced Cases of Fraud?,"If Experienced Cases of Fraud, Please Specify"
SACCO,2015/03/09 10:45:41 AM,2015/03/09 10:55:04 AM,UASIN GISHU,0.51683,35.27517,5,Financial,Savings and Credit Co-operative (SACCO),2015/03/09,Yes,SASRA,Yes,No,No,Yes,Yes,Yes,Yes,No,No,
SACCO,2015/03/09 10:43:03 AM,2015/03/09 11:25:42 AM,NAKURU,-0.28603,36.06383,7,Financial,Savings and Credit Co-operative (SACCO),1975/01/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
SACCO,2015/03/09 11:43:55 AM,2015/03/09 11:54:43 AM,NAKURU,-0.28619,36.06487,6,Financial,Savings and Credit Co-operative (SACCO),2004/09/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Counterfeit Money
SACCO,2015/03/09 11:09:00 AM,2015/03/09 12:03:54 PM,NAIROBI,-1.28223,36.82453,11,Financial,Savings and Credit Co-operative (SACCO),2012/11/02,Yes,SASRA,Yes,Yes,No,Yes,Yes,Yes,No,No,No,
SACCO,2015/03/09 12:10:13 PM,2015/03/09 12:19:54 PM,NAKURU,-0.28584,36.06399,9,Financial,Savings and Credit Co-operative (SACCO),1974/01/28,Yes,SASRA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
SACCO,2015/03/09 12:38:21 PM,2015/03/09 12:59:46 PM,UASIN GISHU,0.51669,35.27459,16,Financial,Savings and Credit Co-operative (SACCO),1978/07/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
SACCO,2015/03/09 12:53:49 PM,2015/03/09 01:00:15 PM,TAITA-TAVETA,-3.40433,38.36559,6,Financial,Savings and Credit Co-operative (SACCO),2012/08/10,Yes,SASRA,Yes,Yes,No,No,Yes,Yes,No,No,No,
SACCO,2015/03/09 01:03:04 PM,2015/03/09 01:25:15 PM,BUSIA,0.4647,34.10378,8,Financial,Savings and Credit Co-operative (SACCO),1977/03/18,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Counterfeit Money
SACCO,2015/03/09 01:29:25 PM,2015/03/09 01:37:10 PM,BUSIA,0.46477,34.10357,9,Financial,Savings and Credit Co-operative (SACCO),2012/04/27,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,
SACCO,2015/03/09 01:45:11 PM,2015/03/09 02:31:54 PM,MOMBASA,-4.06294,39.67224,8,Financial,Savings and Credit Co-operative (SACCO),2012/06/06,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
SACCO,2015/03/09 03:03:46 PM,2015/03/09 03:28:48 PM,NAIROBI,-1.28544,36.82616,8,Financial,Savings and Credit Co-operative (SACCO),1979/02/05,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,
SACCO,2015/03/09 03:21:11 PM,2015/03/09 03:41:32 PM,MURANGA,-0.93761,37.12454,14,Financial,Savings and Credit Co-operative (SACCO),2015/01/01,Yes,Registrar of Companies,Yes,Yes,No,Yes,Yes,Yes,No,No,No,
SACCO,2015/03/10 09:33:57 AM,2015/03/10 09:46:05 AM,NAIROBI,-1.28219,36.82055,11,Financial,Savings and Credit Co-operative (SACCO),2011/01/10,Yes,SASRA,No,No,Yes,Yes,Yes,Yes,Yes,No,No,
SACCO,2015/03/10 01:21:21 PM,2015/03/10 01:30:22 PM,NAIROBI,-1.28428,36.82481,12,Financial,Savings and Credit Co-operative (SACCO),2003/02/10,Yes,SASRA,No,Yes,No,Yes,No,Yes,No,No,Yes,Direct Handset Fraud
SACCO,2015/03/10 01:32:58 PM,2015/03/10 02:05:13 PM,NAIROBI,-1.27962,36.82052,13,Financial,Savings and Credit Co-operative (SACCO),1977/07/07,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
SACCO,2015/03/10 03:47:26 PM,2015/03/10 04:14:38 PM,MOMBASA,-4.04942,39.66482,11,Financial,Savings and Credit Co-operative (SACCO),1976/05/11,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Fraudulent Loans
SACCO,2015/03/11 08:59:24 AM,2015/03/11 09:08:09 AM,TAITA-TAVETA,-3.40684,38.3644,12,Financial,Savings and Credit Co-operative (SACCO),1976/08/15,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Counterfeit Money
SACCO,2015/03/11 09:03:00 AM,2015/03/11 09:13:31 AM,NYERI,-0.42046,36.9499,5,Financial,Savings and Credit Co-operative (SACCO),2012/11/09,Yes,SASRA,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,
SACCO,2015/03/11 12:17:01 PM,2015/03/11 12:20:50 PM,NYERI,-0.42254,36.95251,14,Financial,Savings and Credit Co-operative (SACCO),2015/03/11,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Robbery
SACCO,2015/03/11 02:11:18 PM,2015/03/11 02:21:41 PM,NAIROBI,-1.27892,36.81814,6,Financial,Savings and Credit Co-operative (SACCO),2015/03/11,Yes,SASRA,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Counterfeit Money
